2014-09-12,Brian Colvin,6250,Stark's Park,Raith,Rangers,0.04501914978027344
2014-09-12,Christian Dingert,30210,BayArena,B Leverkusen,W Bremen,0.04601931571960449
2014-09-12,Fernando Teixeira Vitienes,10682,-,Almeria,Cordoba,0.04900383949279785
2014-09-12,Benoit Bastien,34099,Stade de Gerland,Lyon,Monaco,0.053020477294921875
2014-09-12,,,-,HJK Helsinki,KPS Kuopio,0.05101156234741211
2014-09-12,Adrian Comanescu,0,Stadionul Silviu Ploesteanu,FC Brasov,Concordia C,0.057003021240234375
2014-09-12,Robert Dumitru,0,Stadionul Ghencea,Steaua,Metan Medias,0.05802178382873535
2014-09-12,Marcin Borski,0,-,Z Bydgoszcz,Wisla Krakow,0.062021493911743164
2014-09-12,Bartosz Frankowski,0,-,Pogon Szczecin,Ruch Chorzow,0.06402301788330078
2014-09-12,Bartosz Frankowski,0,-,Pogon Szczecin,Ruch Chorzow,0.06701445579528809
2014-09-12,Michael Johansen,0,MCH Arena,Midtjylland,OB Odense,0.12679147720336914
2014-09-12,Svein-Erik Edvartsen,14327,Lerkendal Stadium,Rosenborg,Bodo Glimt,0.07301592826843262
2014-09-12,,0,-,Slavia Prague,FC Brno,0.06802678108215332
2014-09-12,Joao Capela,10000,-,Vitoria Setubal,Benfica,0.07801580429077148
2014-09-12,,0,"Hristo Botev Stadium, Plovdiv",Botev Plovdiv,Ludogorets,0.07504510879516602
2014-09-12,,0,Stadion Varkerti,Lombard-Papa,MTK,0.07542753219604492
2014-09-13,Mark Clattenburg,60003,Emirates Stadium,Arsenal,Man City,0.27506399154663086
2014-09-13,Kevin Friend,41400,Stamford Bridge,Chelsea,Swansea,0.3020780086517334
2014-09-13,Mike Dean,23829,Selhurst Park,Crystal Palace,Burnley,0.24505376815795898
2014-09-13,Chris Foy,29678,St. Mary's Stadium,Southampton,Newcastle,0.24307942390441895
2014-09-13,Michael Oliver,27500,bet365 Stadium,Stoke,Leicester,0.3291904926300049
2014-09-13,Anthony Taylor,23567,The Hawthorns,West Brom,Everton,0.2480766773223877
2014-09-13,Craig Pawson,40799,Stadium of Light,Sunderland,Tottenham,0.3170809745788574
2014-09-13,Lee Mason,44689,Anfield,Liverpool,Aston Villa,0.25931739807128906
2014-09-13,Scott Duncan,15266,St. Andrew's Stadium,Birmingham,Leeds,0.2701444625854492
2014-09-13,Andy Madley,17628,The Valley,Charlton,Watford,0.34607458114624023
2014-09-13,Kevin Wright,17993,John Smith's Stadium,Huddersfield,Middlesbrough,0.2641167640686035
2014-09-13,Roger East,15782,Ewood Park,Blackburn,Wigan,0.34207773208618164
2014-09-13,Mick Russell,12233,Bloomfield Road,Blackpool,Wolves,0.2780723571777344
2014-09-13,Mike Jones,18790,Madejski Stadium,Reading,Fulham,0.3444962501525879
2014-09-13,Carl Berry,16190,Portman Road,Ipswich,Millwall,0.2860734462738037
2014-09-13,Andy Haines,15799,University of Bolton Stadium,Bolton,Sheff Wed,0.35808873176574707
2014-09-13,Graham Horwood,8480,Vitality Stadium,Bournemouth,Rotherham,0.28311729431152344
2014-09-13,Stephen Martin,10089,Griffin Park,Brentford,Brighton,0.35865116119384766
2014-09-13,Mark Haywood,21746,Cardiff City Stadium,Cardiff,Norwich,0.2930753231048584
2014-09-13,Keith Stroud,5313,Brisbane Road,Leyton Orient,Colchester,0.3691980838775635
2014-09-13,Gary Sutton,19122,Bramall Lane,Sheff Utd,Rochdale,0.30962085723876953
2014-09-13,Dean Whitestone,11085,Ricoh Arena,Coventry,Yeovil,0.37907838821411133
2014-09-13,Michael Bull,11733,Ashton Gate,Bristol C,Doncaster,0.31371164321899414
2014-09-13,David Webb,3785,Boundary Park,Oldham,Gillingham,0.3791484832763672
2014-09-13,Brendan Malone,1905,-,Crawley,Fleetwood,0.30889368057250977
2014-09-13,Simon Hooper,6357,-,Crewe,Port Vale,0.3861088752746582
2014-09-13,Graham Salisbury,6227,Proact Stadium,Chesterfield,Scunthorpe,0.32129669189453125
2014-09-13,Geoff Eltringham,4776,Banks's Stadium,Walsall,Preston,0.393099308013916
2014-09-13,Tony Harrington,6567,ABAX Stadium,Peterborough,Notts Co,0.32517457008361816
2014-09-13,Carl Boyeson,9192,Oakwell,Barnsley,MK Dons,0.40169525146484375
2014-09-13,Richard Clark,12486,Valley Parade,Bradford,Swindon,0.32508301734924316
2014-09-13,Christopher Sarginson,2875,Rodney Parade,Newport Co,Northampton,0.4091150760650635
2014-09-13,Peter Bankes,1238,Wham Stadium,Accrington,AFC W'bledon,0.3350503444671631
2014-09-13,Darren Deadman,3106,Adams Park,Wycombe,Mansfield,0.40906786918640137
2014-09-13,Graham Scott,7023,Roots Hall,Southend,Portsmouth,0.33535337448120117
2014-09-13,Andy D'Urso,7793,Kenilworth Road,Luton,Cheltenham,0.4216036796569824
2014-09-13,Mark Brown,3975,Brunton Park,Carlisle,Bury,0.4081296920776367
2014-09-13,Carlisle,Bury,0.33860182762145996
2014-09-13,Jeremy Simpson,2890,Pirelli Stadium,Burton,York,0.4181032180786133
2014-09-13,James Linington,3076,St James Park,Exeter,Oxford,0.35204648971557617
2014-09-13,Gavin Ward,2840,Lamex Stadium,Stevenage,Shrewsbury,0.4721064567565918
2014-09-13,Stevenage,Shrewsbury,0.3515892028808594
2014-09-13,Andy Woolmer,2049,Victoria Road,Dag & Red,Cambridge U,0.4249284267425537
2014-09-13,Ben Toner,2933,Sincil Bank,Lincoln,Bristol R,0.4531066417694092
2014-09-13,Lee Swabey,1005,-,Forest Green,Halifax,0.3708839416503906
2014-09-13,Nick Kinseley,1629,-,Woking,Chester,0.4509868621826172
2014-09-13,Nigel Lugg,754,-,Dover,Macclesfield,0.3726084232330322
2014-09-13,Paul Rees,2857,Racecourse Ground (WRX),Wrexham,Welling,0.44672608375549316
2014-09-13,Robert Jones,1336,-,Gateshead,Dartford,0.4380991458892822
2014-09-13,Ian Hussin,803,Liberty Stadium,Nuneaton,Aldershot,0.3799142837524414
2014-09-13,Darren England,945,-,Altrincham,Eastleigh,0.4632222652435303
2014-09-13,Jason Whiteley,3300,Blundell Park,Grimsby,Torquay,0.4441087245941162
2014-09-13,Steve Rushton,832,Haig Avenue,Southport,Alfreton,0.39311933517456055
2014-09-13,Justin Amey,751,The Amlin Stadium,Braintree,Kidderminster,0.4761683940887451
2014-09-13,John Brooks,1492,-,Telford,Barnet,0.468738317489624
2014-09-13,Bobby Madden,43640,Celtic Park,Celtic,Aberdeen,0.3970925807952881
2014-09-13,Celtic,Aberdeen,0.4757096767425537
2014-09-13,Steven McLean,3012,"Victoria Park, Dingwall",Ross County,Motherwell,0.45911264419555664
2014-09-13,William Collum,6562,McDiarmid Park,St Johnstone,Dundee,0.4021000862121582
2014-09-13,Alan Muir,4417,Rugby Park,Kilmarnock,St Mirren,0.5270555019378662
2014-09-13,John Beaton,7109,Tannadice Park,Dundee Utd,Hamilton,0.47264766693115234
2014-09-13,George Salmond,1757,The Bet Butler Stadium,Dumbarton,Hearts,0.4250950813293457
2014-09-13,Kevin Clancy,1150,The Energy Assets Arena,Livingston,Alloa,0.5095169544219971
2014-09-13,Craig Thomson,3793,Falkirk Stadium,Falkirk,Queen of Sth,0.4924497604370117
2014-09-13,John McKendrick,11021,Easter Road,Hibernian,Cowdenbeath,0.42810630798339844
2014-09-13,Don Robertson,502,Station Park,Forfar,Peterhead,0.504319429397583
2014-09-13,Calum Murray,1414,Somerset Park,Ayr,Stranraer,0.48812294006347656
2014-09-13,Kevin Graham,1482,Cappielow Park,Morton,Airdrieonians,0.43662023544311523
2014-09-13,Craig Charleston,2671,East End Park,Dunfermline,Stenh'semuir,0.5169241428375244
2014-09-13,Nick Walsh,601,Forthbank Stadium,Stirling,Brechin,0.4961214065551758
2014-09-13,Peter Newlands,304,-,Queen's Park,Elgin City,0.5091233253479004
2014-09-13,Gavin Duncan,422,-,Annan,Berwick,0.4380209445953369
2014-09-13,Steven Kirkland,829,Gayfield Park,Arbroath,East Fife,0.5428023338317871
2014-09-13,Gavin Ross,470,Ochilview Park,E Stirling,Clyde,0.5151228904724121
2014-09-13,Mat Northcroft,348,Links Park,Montrose,Albion,0.5251164436340332
2014-09-13,Montrose,Albion,0.44613051414489746
2014-09-13,Andrea Gervasoni,11113,-,Empoli,Roma,0.5391404628753662
2014-09-13,Antonio Damato,38217,Juventus Stadium,Juventus,Udinese,0.4567108154296875
2014-09-13,Guido Winkmann,42069,"Olympiastadion, Berlin",Hertha Berlin,Mainz,0.5933177471160889
2014-09-13,Wolfgang Stark,23813,WIRSOL Rhein-Neckar-Arena,Hoffenheim,Wolfsburg,0.5247132778167725
2014-09-13,Bastian Dankert,80200,Signal Iduna Park,B Dortmund,Freiburg,0.5321295261383057
2014-09-13,Peter Gagelmann,14993,-,SC Paderborn,Cologne,0.5582871437072754
2014-09-13,SC Paderborn,Cologne,0.4761073589324951
2014-09-13,SC Paderborn,Cologne,0.5481729507446289
2014-09-13,SC Paderborn,Cologne,0.557124137878418
2014-09-13,Barcelona,Ath Bilbao,0.5817222595214844
2014-09-13,Antonio Miguel Mateu Lahoz,85253,Santiago Bernabeu,Real Madrid,Atl Madrid,0.48003530502319336
2014-09-13,Alejandro Hernandez Hernandez,19385,Balaidos,Celta Vigo,Sociedad,0.613487720489502
2014-09-13,Antony Gautier,27194,Roazhon Park,Rennes,Paris St-G.,0.5571677684783936
2014-09-13,Wilfried Bien,12474,Stade Armand-Cesari-Furiani,Bastia,Lens,0.5684452056884766
2014-09-13,Tony Chapron,18019,Allianz Riviera,Nice,Metz,0.5641272068023682
2014-09-13,Alexandre Castro,11019,Stade Auguste-Delaune,Reims,Toulouse,0.5658516883850098
2014-09-13,Sebastien Moreira,26293,Stade Geoffroy-Guichard,St-Etienne,Caen,0.49412035942077637
2014-09-13,Fredy Fautrel,12106,Altrad Stadium,Montpellier,Lorient,0.6076617240905762
2014-09-13,Montpellier,Lorient,0.571765661239624
2014-09-13,Igor Nizovtsev,7640,-,Lok. Moscow,M Saransk,0.5731396675109863
2014-09-13,Mikhail Vilkov,14012,Petrovski Stadium,Zenit,Din. Moscow,0.6355991363525391
2014-09-13,Zenit,Din. Moscow,0.5903346538543701
2014-09-13,Martin Strombergsson,0,Gamla Ullevi,Hacken,Malmo,0.5256574153900146
2014-09-13,,0,Veritas Stadion,FC Inter,Mariehamn,0.6101384162902832
2014-09-13,,,Seinajoen Stadion,SJK,FC Lahti,0.6001451015472412
2014-09-13,Christos Mitsios,1325,-,Veroia,Kerkyra,0.5962109565734863
2014-09-13,Georgios Kizas,0,Toumba Stadium,PAOK Salonika,Niki Volos,0.5911433696746826
2014-09-13,Tasos Sidiropoulos,17510,-,Olympiakos,OFI Crete,0.6125781536102295
2014-09-13,Trond Ivar Dovle,8399,Skagerak Arena,Odd Grenland,Viking,0.6178312301635742
2014-09-13,Svein Oddvar Moen,7720,Marienlyst Stadion,Stromsgodset,Brann,0.6201519966125488
2014-09-13,Pawel Raczkowski,0,Jozef Pilsudski Stadium,Cracovia,Gornik Leczna,0.542924165725708
2014-09-13,Tomasz Kwiatkowski,0,-,Jagiellonia,Lech Poznan,0.6381702423095703
2014-09-13,Pawel Gil,0,Pepsi Arena,Legia Warsaw,Slask Wroclaw,0.6176795959472656
2014-09-13,Yunus Yildirim,0,-,Genclerbirligi,Bursaspor,0.5505475997924805
2014-09-13,Bulent Yildirim,0,-,Kardemir,Basaksehir,0.7023344039916992
2014-09-13,Baris Simsek,0,-,Galatasaray,Eskisehirspor,0.6229448318481445
2014-09-13,Hakan Ceylan,0,-,Konyaspor,Balikesirspor,0.6291530132293701
2014-09-13,,0,-,Osijek,Rijeka,0.6279036998748779
2014-09-13,,,-,Din Zagreb,NK Istra 1961,0.6565730571746826
2014-09-13,Valentin Pizarro Gomez,5200,Los Pajaritos,Numancia,Ponferradina,0.6431467533111572
2014-09-13,Ricardo de Burgos,7100,Iberostar Estadi,Mallorca,Recreativo,0.6530590057373047
2014-09-13,Oliver De la Fuente Ramos,9941,Mendizorroza,Alaves,Barcelona B,0.6586949825286865
2014-09-13,Pablo Gonzalez Fuertes,6730,El Sardinero,Racing,Las Palmas,0.6531600952148438
2014-09-13,Pedro Sureda Cuenca,2838,-,Llagostera,Osasuna,0.668086051940918
2014-09-13,Jorge Tavares,1576,-,Moreirense,Rio Ave,0.6703987121582031
2014-09-13,Pedro Proenca,1800,-,Arouca,Braga,0.6778717041015625
2014-09-13,Cosme Machado,34980,-,Sporting,Belenenses,0.6762793064117432
2014-09-13,,0,Bazaly Stadion,Banik Ostrava,Mlada Boleslav,0.6631500720977783
2014-09-13,,0,-,Dukla Prague,B. 1905,0.6756777763366699
2014-09-13,,0,-,C. Budejovice,Synot,0.6640892028808594
2014-09-13,,0,Na Litavce,Dukla Pribram,Jablonec,0.6761653423309326
2014-09-13,,0,-,Hradec Kralove,Vysocina Jihlava,0.6791625022888184
2014-09-13,,0,-,Teplice,Sparta Prague,0.6821987628936768
2014-09-13,Alexandru Dan Tudor,0,-,Viitorul C,Piatra Neamt,0.6777675151824951
2014-09-13,Istvan Kovacs,0,Stadionul Dr. Constantin Radul,CFR Cluj,Astra Giurgiu,0.6871929168701172
2014-09-13,Sascha Amhof,0,Letzigrund Stadion,Grasshoppers,Basel,0.6888012886047363
2014-09-13,Pascal Erlachner,0,-,FC Aarau,Thun,0.6876833438873291
2014-09-13,Sebastien Delferiere,0,Herman Vanderpoortenstadion,Lierse,Anderlecht,0.6941690444946289
2014-09-13,Luc Wouters,0,-,Mechelen,Westerlo,0.6990737915039062
2014-09-13,Frederick Geldhof,0,-,Cercle Bruges,Charleroi,0.7081584930419922
2014-09-13,Laurent Colemonts,0,-,Waregem,W Beveren,0.710716962814331
2014-09-13,Nicolas Laforge,0,-,St Liege,Oostende,0.7239537239074707
2014-09-13,Tom Van Sichem,27500,De Grolsch Veste,FC Twente,Go A Eagles,0.7167220115661621
2014-09-13,Richard Liesveld,47408,Johan Cruyff Arena,Ajax,Heracles,0.7048985958099365
2014-09-13,Bas Nijhuis,15398,AFAS Stadion,AZ Alkmaar,Heerenveen,0.7178888320922852
2014-09-13,Danny Makkelie,12347,IJsseldelta Stadion,PEC Zwolle,PSV Eindhoven,0.7183101177215576
2014-09-13,Eric Braamhaar,43627,De Kuip,Feyenoord,Willem II,0.7322049140930176
2014-09-13,Robert Schoergenhofer,6893,UPC-Arena,Sturm Graz,Admira Wacker,0.7361893653869629
2014-09-13,Alexander Harkam,6026,Generali-Arena,Aus. Vienna,Ried,0.7262029647827148
2014-09-13,Mads Kristoffersen,0,Nordjyske Arena,Aalborg,FC Copenhagen,0.732166051864624
2014-09-13,Aalborg,FC Copenhagen,0.7526891231536865
2014-09-13,,0,-,Debrecen,Pecsi Munkas,0.767601728439331
2014-09-13,,0,-,Honved,Szombathelyi H,0.7901883125305176
2014-09-13,,0,-,Nyiregyhaza,Dunaujvaros,0.7541894912719727
2014-09-13,,0,"Ticha Stadium, Varna",Cherno More,CSKA Sofia,0.6491584777832031
2014-09-13,,0,Beroe Stadium,Beroe Stara,FC Marek,0.8205535411834717
2014-09-13,,,-,Donji Srem,Rad Beograd,0.818720817565918
2014-09-13,,,-,Novi Pazar,Mladost Lucani,0.7391343116760254
2014-09-13,,0,-,Napredak,Red Star,0.7439289093017578
2014-09-13,,0,-,Partizan,Cukaricki,0.746178388595581
2014-09-13,,0,-,Vozdovac,FK Rad 1923,0.7443277835845947
2014-09-13,,0,-,Borac Cacak,OFK Belgrade,0.7471578121185303
2014-09-13,,0,Bloomfield Stadium,H Tel Aviv,M. Netanya,0.7497878074645996
2014-09-13,,,Karnei Oren Memorial Field,Hapoel Ra'ana,H. Petah Tikva,0.7571184635162354
2014-09-13,Hapoel Ra'ana,H. Petah Tikva,0.7364675998687744
2014-09-13,Hapoel Acre,H. Haifa,0.7416038513183594
2014-09-13,,0,-,H Beer Sheva,Beitar J'salem,0.7651736736297607
2014-09-13,,,-,Hednesford,Guiseley,0.6981563568115234
